productId,product_description,imgurl,producturl,stars,reviews,price,category_id,isbestseller,boughtinlastmonth,category_name,quantity,embedding
13        ,"Slim card wallet in full-grain vegetable-tanned leather. Four slots, one center pocket. Ages beautifully.",/products/marco-leather-card-wallet.png,/p/13,4.9,342,95,2,false,0,Accessories,50,
14        ,"Lightweight drawstring trousers in pre-washed European linen. Tapered leg, deep pockets.",/products/marco-linen-drawstring-trousers.png,/p/14,4.7,225,178,1,false,0,Apparel,50,
15        ,Jute-soled espadrille slides with leather footbed. For coastal mornings and golden-hour terraces.,/products/marco-espadrille-slides.png,/p/15,4.6,167,118,5,false,0,Footwear,50,
16        ,"Linen-cotton blend overshirt in sage green. Relaxed fit, chest pocket. A layer that earns its keep.",/products/marco-linen-overshirt-sage.png,/p/16,4.7,143,195,1,false,0,Apparel,50,
17        ,"Full-grain leather holdall with brass buckles. Canvas-lined interior, padded base. Built for 48 hours.",/products/marco-leather-weekend-holdall.png,/p/17,4.9,76,485,2,false,0,Accessories,50,
18        ,"Cotton-linen blend crew neck tee. Pre-washed for softness, slightly textured weave.",/products/marco-cotton-linen-tee.png,/p/18,4.5,412,68,1,false,0,Apparel,50,
19        ,Woven straw panama with black grosgrain ribbon. UPF 50+. Rolls without creasing.,/products/marco-straw-panama-hat.png,/p/19,4.8,98,145,2,false,0,Accessories,50,
20        ,"Three-pack of merino wool crew socks in charcoal, oat, and olive. Temperature-regulating, odor-resistant.",/products/marco-merino-travel-socks.png,/p/20,4.6,534,38,1,false,0,Apparel,50,
21        ,"Set of four hand-poured beeswax tapers. Clean burn, subtle honey scent. Arrives tied with cotton twine.",/products/anna-beeswax-taper-candles.png,/p/21,4.8,289,48,3,false,0,Home Decor,50,
22        ,"Set of four linen napkins in soft white with optional monogram. Hemstitched edges, gift-boxed.",/products/anna-monogrammed-napkins.png,/p/22,4.7,178,72,3,false,0,Home Decor,50,
23        ,"Small hand-thrown ceramic ring dish in speckled cream glaze. For the bedside, the vanity, the windowsill.",/products/anna-ceramic-ring-dish.png,/p/23,4.9,412,35,3,false,0,Home Decor,50,
24        ,Silk scarf in muted botanical print — sage leaves and terracotta blooms. Hand-rolled edges.,/products/anna-botanical-scarf.png,/p/24,4.6,145,128,2,false,0,Accessories,50,
25        ,Matte black glass reed diffuser with natural rattan sticks. Neroli and sandalwood. Lasts 3 months.,/products/anna-reed-diffuser.png,/p/25,4.7,367,62,3,false,0,Home Decor,50,
26        ,"Three artisan soap bars in a wooden box — lavender, oat milk, and wild honey. Tied with hemp cord.",/products/anna-handmade-soap-set.png,/p/26,4.8,298,45,4,false,0,Beauty,50,
27        ,"Small ceramic bud vase in dusty rose glaze. For a single stem on a desk, a shelf, a bedside table.",/products/anna-ceramic-bud-vase.png,/p/27,4.6,223,42,3,false,0,Home Decor,50,
28        ,Leather-bound journal with hand-stitched spine. 192 pages of cream laid paper. Refillable.,/products/anna-leather-journal.png,/p/28,4.9,187,58,2,false,0,Accessories,50,
29        ,"Hammered brass photo frame, 5x7. Stands or hangs. The kind of frame that makes a photo feel kept.",/products/anna-brass-photo-frame.png,/p/29,4.7,156,55,3,false,0,Home Decor,50,
30        ,"Cream tissue paper, blush satin ribbon, kraft gift tags with cotton string. Enough for three gifts.",/products/anna-gift-wrapping-kit.png,/p/30,4.5,478,28,6,false,0,Gifts,50,
31        ,"Hand-thrown stoneware pour-over dripper and carafe in ash grey glaze. The morning ritual, elevated.",/products/theo-stoneware-pour-over.png,/p/31,4.9,134,165,3,false,0,Home Decor,50,
32        ,"Raw linen throw blanket in natural flax. Gets softer with every wash. For the chair, the sofa, the bed.",/products/theo-raw-linen-throw.png,/p/32,4.8,201,195,3,false,0,Home Decor,50,
33        ,Hand-carved olive wood cutting board with natural grain patterns. Each one unique — the mark of the tree.,/products/theo-olive-wood-board.png,/p/33,4.7,312,88,3,false,0,Home Decor,50,
34        ,Unglazed terracotta planter with drainage hole. Develops a natural patina over months.,/products/theo-terracotta-planter.png,/p/34,4.6,256,52,3,false,0,Home Decor,50,
35        ,"Minimal brass incense holder with a single channel. Hand-forged, develops patina. For the ritual, not the rush.",/products/theo-brass-incense-holder.png,/p/35,4.8,189,45,3,false,0,Home Decor,50,
36        ,Set of two hand-thrown ceramic tumblers in speckled charcoal glaze. No two exactly alike.,/products/theo-ceramic-tumblers.png,/p/36,4.7,245,78,3,false,0,Home Decor,50,
37        ,"Stoneware bowl in matte cream with deliberate imperfections. For the morning granola, the evening soup.",/products/theo-wabi-sabi-bowl.png,/p/37,4.9,167,65,3,false,0,Home Decor,50,
38        ,"Thick beeswax pillar candle, hand-dipped. Burns for 80 hours. The uneven surface is the point.",/products/theo-beeswax-pillar-candle.png,/p/38,4.6,334,38,3,false,0,Home Decor,50,
39        ,Hand-woven linen table runner in natural undyed flax. The kind of piece that makes a Tuesday feel intentional.,/products/theo-linen-table-runner.png,/p/39,4.7,178,85,3,false,0,Home Decor,50,
40        ,"Japanese-style activated charcoal soap. Handmade in small batches. Detoxifying, grounding, minimal.",/products/theo-charcoal-soap-bar.png,/p/40,4.5,412,24,4,false,0,Beauty,50,
41        ,"Hand-shaped lacquered ceramic catchall with an organic wavy rim and a high-gloss coral glaze. For keys, rings, and the small things that otherwise go missing.",/products/house-coral-lacquer-catchall.png,/p/41,4.7,156,325.36,3,false,0,Home Decor,50,
42        ,"Waffle-weave cotton bath robe in muted sage. Long-staple cotton that softens with every wash, with patch pockets and a self-tie belt.",/products/house-sage-bath-robe.png,/p/42,4.6,289,107.3,3,false,0,Home Decor,50,
43        ,"Collarless vest in diamond-quilted washed silk. Light as a layer, warm as a coat lining, cut to wear open over knitwear.",/products/house-quilted-silk-vest.png,/p/43,4.5,98,193.13,1,false,0,Apparel,50,
44        ,"Wall clock cut from a single piece of honed travertine. No numerals, two slim brushed-brass hands, a silent movement.",/products/house-travertine-wall-clock.png,/p/44,4.8,74,248.0,3,false,0,Home Decor,50,
45        ,"Single-breasted blazer in charcoal wool flannel. Half-canvassed, notch lapel, working cuffs. Tailored in a wool that holds its line.",/products/house-tailored-wool-blazer.png,/p/45,4.8,142,346.38,1,false,0,Apparel,50,
46        ,"Grade-A Mongolian cashmere throw with hand-knotted fringe. Substantial loft, brushed twice for a surface that stays soft.",/products/house-ivory-cashmere-throw.png,/p/46,4.9,118,420.0,3,false,0,Home Decor,50,
47        ,"Eau de parfum built on Haitian vetiver, dry cedar, and a trace of smoked vanilla. Quiet on the skin, long on the shirt collar.",/products/house-vetiver-quietude.png,/p/47,4.7,231,186.0,4,false,0,Beauty,50,
48        ,"Full-grain vegetable-tanned leather market tote with rolled handles and saddle stitching. Unlined, so it takes on a patina rather than wearing out.",/products/house-cognac-market-tote.png,/p/48,4.9,87,540.0,2,false,0,Accessories,50,
49        ,"Stonewashed European flax bedding set. Breathable, deliberately relaxed, and finished without softening chemicals.",/products/house-stonewashed-linen-set.png,/p/49,4.6,204,310.0,3,false,0,Home Decor,50,
50        ,"Fine-gauge extra-fine merino crewneck in oat. Temperature-regulating, odour-resistant, and light enough to layer under a blazer.",/products/house-oat-merino-crew.png,/p/50,4.7,276,168.0,1,false,0,Apparel,50,
51        ,"Full-length overcoat in double-faced Italian wool, bonded rather than lined so it drapes without weight. Notch lapel, patch pockets, hand-finished hem.",/products/signature-camel-wool-overcoat.png,/p/51,4.9,63,895.0,1,false,0,Apparel,50,
52        ,Bias-cut slip dress in heavyweight silk charmeuse. The bias does the shaping; the weight keeps it from clinging.,/products/signature-silk-charmeuse-slip-dress.png,/p/52,4.8,71,485.0,1,false,0,Apparel,50,
53        ,"High-waisted trouser in chalk wool with a double forward pleat and a turned cuff. Cut wide through the leg, tapered at the hem.",/products/signature-double-pleat-wool-trouser.png,/p/53,4.7,109,285.0,1,false,0,Apparel,50,
54        ,"Chelsea boot in tobacco calf suede on a stacked leather heel. Goodyear-welted, so it can be resoled rather than replaced.",/products/signature-suede-chelsea-boot.png,/p/54,4.8,134,395.0,5,false,0,Footwear,50,
55        ,"Eau de parfum of green fig, cedar, and warm milk. Opens sharp and settles into something closer to skin.",/products/signature-fig-cedar-eau-de-parfum.png,/p/55,4.8,96,245.0,4,false,0,Beauty,50,
56        ,"Body oil of rose absolute, squalane, and apricot kernel. Absorbs without residue; the scent fades to a clean sweetness.",/products/signature-rose-absolute-body-oil.png,/p/56,4.6,187,118.0,4,false,0,Beauty,50,
57        ,Oversized cashmere wrap that doubles as an aeroplane blanket. Rolls to the size of a paperback and ties with a flat linen ribbon.,/products/signature-cashmere-travel-wrap.png,/p/57,4.9,112,340.0,2,false,0,Accessories,50,
58        ,"Solid brushed 14k gold signet with a blank oval face, left unengraved so it can be made personal later.",/products/signature-signet-ring-brushed-gold.png,/p/58,4.9,58,480.0,2,false,0,Accessories,50,
59        ,"Hand-knotted wool rug in undyed sand with a barely-there tonal border. Roughly two hundred knots per square inch, woven over four months.",/products/signature-hand-knotted-wool-rug.png,/p/59,4.9,41,1250.0,3,false,0,Home Decor,50,
60        ,Mouth-blown glass decanter with a faintly irregular neck and a scatter of seed bubbles. Each one carries the breath that made it.,/products/signature-blown-glass-decanter.png,/p/60,4.7,88,210.0,3,false,0,Home Decor,50,
